file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,53,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,30
style.css,54,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,19
style.css,55,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,56,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,6
style.css,57,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,19
style.css,58,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,59,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,9
style.css,60,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,61,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,58
style.css,62,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,10
style.css,63,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,64,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,17
style.css,65,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,66,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,27
style.css,67,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,16
style.css,68,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,69,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,70,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,9
style.css,71,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,72,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,3
style.css,73,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,15
style.css,74,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
